german,path,rn,generation,color,english,ep_to_100,gender,size,types,weight,attack,speed,hp,attack_special,defense_special,defense
Victini,https://www.pokewiki.de/Victini,494,5. Generation‍,Gelb,Victini,1.250.000,—,"0,4 m",Psycho Feuer,"4,0 kg",100,100,100,100,100,100
Serpifeu,https://www.pokewiki.de/Serpifeu,495,5. Generation‍,Grün,Snivy,1.059.860,"87,5% ♂ 12,5% ♀","0,6 m",Pflanze,"8,1 kg",45,63,45,45,55,55
Efoserp,https://www.pokewiki.de/Efoserp,496,5. Generation‍,Grün,Servine,1.059.860,"87,5% ♂ 12,5% ♀","0,8 m",Pflanze,"16,0 kg",60,83,60,60,75,75
Serpiroyal,https://www.pokewiki.de/Serpiroyal,497,5. Generation‍,Grün,Serperior,1.059.860,"87,5% ♂ 12,5% ♀","3,3 m",Pflanze,"63,0 kg",75,113,75,75,95,95
Floink,https://www.pokewiki.de/Floink,498,5. Generation‍,Rot,Tepig,1.059.860,"87,5% ♂ 12,5% ♀","0,5 m",Feuer,"9,9 kg",63,45,65,45,45,45
Ferkokel,https://www.pokewiki.de/Ferkokel,499,5. Generation‍,Rot,Pignite,1.059.860,"87,5% ♂ 12,5% ♀","1,0 m",Feuer Kampf,"55,0 kg",93,55,90,70,55,55
Flambirex,https://www.pokewiki.de/Flambirex,500,5. Generation‍,Rot,Emboar,1.059.860,"87,5% ♂ 12,5% ♀","1,6 m",Feuer Kampf,"150,0 kg",123,65,110,100,65,65
Ottaro,https://www.pokewiki.de/Ottaro,501,5. Generation‍,Blau,Oshawott,1.059.860,"87,5% ♂ 12,5% ♀","0,5 m",Wasser,"5,9 kg",55,45,55,63,45,45
Zwottronin,https://www.pokewiki.de/Zwottronin,502,5. Generation‍,Blau,Dewott,1.059.860,"87,5% ♂ 12,5% ♀","0,8 m",Wasser,"24,5 kg",75,60,75,83,60,60
Admurai,https://www.pokewiki.de/Admurai,503,5. Generation‍,Blau,Samurott,1.059.860,"87,5% ♂ 12,5% ♀","1,5 m",Wasser,"94,6 kg",100,70,95,108,70,85
Nagelotz,https://www.pokewiki.de/Nagelotz,504,5. Generation‍,Braun,Patrat,1.000.000,50% ♂ 50% ♀,"0,5 m",Normal,"11,6 kg",55,42,45,35,39,39
Kukmarda,https://www.pokewiki.de/Kukmarda,505,5. Generation‍,Braun,Watchog,1.000.000,50% ♂ 50% ♀,"1,1 m",Normal,"27,0 kg",85,77,60,60,69,69
