german,path,rn,generation,color,english,ep_to_100,gender,size,types,weight,attack,speed,hp,attack_special,defense_special,defense
Endivie,https://www.pokewiki.de/Endivie,152,2. Generation‍,Grün,Chikorita,1.059.860,"87,5% ♂ 12,5% ♀","0,9 m",Pflanze,"6,4 kg",49,45,45,49,65,65
Lorblatt,https://www.pokewiki.de/Lorblatt,153,2. Generation‍,Grün,Bayleef,1.059.860,"87,5% ♂ 12,5% ♀","1,2 m",Pflanze,"15,8 kg",62,60,60,63,80,80
Meganie,https://www.pokewiki.de/Meganie,154,2. Generation‍,Grün,Meganium,1.059.860,"87,5% ♂ 12,5% ♀","1,8 m",Pflanze,"100,5 kg",82,80,80,83,100,100
Feurigel,https://www.pokewiki.de/Feurigel,155,2. Generation‍,Gelb,Cyndaquil,1.059.860,"87,5% ♂ 12,5% ♀","0,5 m",Feuer,"7,9 kg",52,65,39,60,50,43
Igelavar,https://www.pokewiki.de/Igelavar,156,2. Generation‍,Gelb,Quilava,1.059.860,"87,5% ♂ 12,5% ♀","0,9 m",Feuer,"19,0 kg",64,80,58,80,65,58
Tornupto,https://www.pokewiki.de/Tornupto,157,2. Generation‍,Gelb,Typhlosion,1.059.860,"87,5% ♂ 12,5% ♀","1,7 m",Feuer,"79,5 kg",84,100,78,109,85,78
Karnimani,https://www.pokewiki.de/Karnimani,158,2. Generation‍,Blau,Totodile,1.059.860,"87,5% ♂ 12,5% ♀","0,6 m",Wasser,"9,5 kg",65,43,50,44,48,64
Tyracroc,https://www.pokewiki.de/Tyracroc,159,2. Generation‍,Blau,Croconaw,1.059.860,"87,5% ♂ 12,5% ♀","1,1 m",Wasser,"25,0 kg",80,58,65,59,63,80
Impergator,https://www.pokewiki.de/Impergator,160,2. Generation‍,Blau,Feraligatr,1.059.860,"87,5% ♂ 12,5% ♀","2,3 m",Wasser,"88,8 kg",105,78,85,79,83,100
Wiesor,https://www.pokewiki.de/Wiesor,161,2. Generation‍,Braun,Sentret,1.000.000,50% ♂ 50% ♀,"0,8 m",Normal,"6,0 kg",46,20,35,35,45,34
Wiesenior,https://www.pokewiki.de/Wiesenior,162,2. Generation‍,Braun,Furret,1.000.000,50% ♂ 50% ♀,"1,8 m",Normal,"32,5 kg",76,90,85,45,55,64
Hoothoot,https://www.pokewiki.de/Hoothoot,163,2. Generation‍,Braun,Hoothoot,1.000.000,50% ♂ 50% ♀,"0,7 m",Normal Flug,"21,2 kg",30,50,60,36,56,30
Noctuh,https://www.pokewiki.de/Noctuh,164,2. Generation‍,Braun,Noctowl,1.000.000,50% ♂ 50% ♀,"1,6 m",Normal Flug,"40,8 kg",50,70,100,86,96,50
Ledyba,https://www.pokewiki.de/Ledyba,165,2. Generation‍,Rot,Ledyba,800.000,50% ♂ 50% ♀,"1,0 m",Käfer Flug,"10,8 kg",20,55,40,40,80,30
Ledian,https://www.pokewiki.de/Ledian,166,2. Generation‍,Rot,Ledian,800.000,50% ♂ 50% ♀,"1,4 m",Käfer Flug,"35,6 kg",35,85,55,55,110,50
Webarak,https://www.pokewiki.de/Webarak,167,2. Generation‍,Grün,Spinarak,800.000,50% ♂ 50% ♀,"0,5 m",Käfer Gift,"8,5 kg",60,30,40,40,40,40
Ariados,https://www.pokewiki.de/Ariados,168,2. Generation‍,Rot,Ariados,800.000,50% ♂ 50% ♀,"1,1 m",Käfer Gift,"33,5 kg",90,40,70,60,70,70
Iksbat,https://www.pokewiki.de/Iksbat,169,2. Generation‍,Violett,Crobat,1.000.000,50% ♂ 50% ♀,"1,8 m",Gift Flug,"75,0 kg",90,130,85,70,80,80
Lampi,https://www.pokewiki.de/Lampi,170,2. Generation‍,Blau,Chinchou,1.250.000,50% ♂ 50% ♀,"0,5 m",Wasser Elektro,"12,0 kg",38,67,75,56,56,38
Lanturn,https://www.pokewiki.de/Lanturn,171,2. Generation‍,Blau,Lanturn,1.250.000,50% ♂ 50% ♀,"1,2 m",Wasser Elektro,"22,5 kg",58,67,125,76,76,58
Pichu,https://www.pokewiki.de/Pichu,172,2. Generation‍,Gelb,Pichu,1.000.000,50% ♂ 50% ♀,"0,3 m",Elektro,"2,0 kg",40,60,20,35,35,15
Pii,https://www.pokewiki.de/Pii,173,2. Generation‍,Rosa,Cleffa,800.000,25% ♂ 75% ♀,"0,3 m",Fee,"3,0 kg",25,15,50,45,55,28
Fluffeluff,https://www.pokewiki.de/Fluffeluff,174,2. Generation‍,Rosa,Igglybuff,800.000,25% ♂ 75% ♀,"0,3 m",Normal Fee,"1,0 kg",30,15,90,40,20,15
Togepi,https://www.pokewiki.de/Togepi,175,2. Generation‍,Weiß,Togepi,800.000,"87,5% ♂ 12,5% ♀","0,3 m",Fee,"1,5 kg",20,20,35,40,65,65
Togetic,https://www.pokewiki.de/Togetic,176,2. Generation‍,Weiß,Togetic,800.000,"87,5% ♂ 12,5% ♀","0,6 m",Fee Flug,"3,2 kg",40,40,55,80,105,85
Natu,https://www.pokewiki.de/Natu,177,2. Generation‍,Grün,Natu,1.000.000,50% ♂ 50% ♀,"0,2 m",Psycho Flug,"2,0 kg",50,70,40,70,45,45
Xatu,https://www.pokewiki.de/Xatu,178,2. Generation‍,Grün,Xatu,1.000.000,50% ♂ 50% ♀,"1,5 m",Psycho Flug,"15,0 kg",75,95,65,95,70,70
Voltilamm,https://www.pokewiki.de/Voltilamm,179,2. Generation‍,Weiß,Mareep,1.059.860,50% ♂ 50% ♀,"0,6 m",Elektro,"7,8 kg",40,35,55,65,45,40
Waaty,https://www.pokewiki.de/Waaty,180,2. Generation‍,Rosa,Flaaffy,1.059.860,50% ♂ 50% ♀,"0,8 m",Elektro,"13,3 kg",55,45,70,80,60,55
Ampharos,https://www.pokewiki.de/Ampharos,181,2. Generation‍,Gelb,Ampharos,1.059.860,50% ♂ 50% ♀,"1,4 m",Elektro   Elektro Drache (Mega),"61,5 kg",75,55,90,115,90,85
Blubella,https://www.pokewiki.de/Blubella,182,2. Generation‍,Grün,Bellossom,1.059.860,50% ♂ 50% ♀,"0,4 m",Pflanze,"5,8 kg",80,50,75,90,100,95
Marill,https://www.pokewiki.de/Marill,183,2. Generation‍,Blau,Marill,800.000,50% ♂ 50% ♀,"0,4 m",Wasser Fee,"8,5 kg",20,40,70,20,50,50
Azumarill,https://www.pokewiki.de/Azumarill,184,2. Generation‍,Blau,Azumarill,800.000,50% ♂ 50% ♀,"0,8 m",Wasser Fee,"28,5 kg",50,50,100,60,80,80
Mogelbaum,https://www.pokewiki.de/Mogelbaum,185,2. Generation‍,Braun,Sudowoodo,1.000.000,50% ♂ 50% ♀,"1,2 m",Gestein,"38,0 kg",100,30,70,30,65,115
Quaxo,https://www.pokewiki.de/Quaxo,186,2. Generation‍,Grün,Politoed,1.059.860,50% ♂ 50% ♀,"1,1 m",Wasser,"33,9 kg",75,70,90,90,100,75
Hoppspross,https://www.pokewiki.de/Hoppspross,187,2. Generation‍,Rosa,Hoppip,1.059.860,50% ♂ 50% ♀,"0,4 m",Pflanze Flug,"0,5 kg",35,50,35,35,55,40
Hubelupf,https://www.pokewiki.de/Hubelupf,188,2. Generation‍,Grün,Skiploom,1.059.860,50% ♂ 50% ♀,"0,6 m",Pflanze Flug,"1,0 kg",45,80,55,45,65,50
Papungha,https://www.pokewiki.de/Papungha,189,2. Generation‍,Blau,Jumpluff,1.059.860,50% ♂ 50% ♀,"0,8 m",Pflanze Flug,"3,0 kg",55,110,75,55,95,70
Griffel,https://www.pokewiki.de/Griffel,190,2. Generation‍,Violett,Aipom,800.000,50% ♂ 50% ♀,"0,8 m",Normal,"11,5 kg",70,85,55,40,55,55
Sonnkern,https://www.pokewiki.de/Sonnkern,191,2. Generation‍,Gelb,Sunkern,1.059.860,50% ♂ 50% ♀,"0,3 m",Pflanze,"1,8 kg",30,30,30,30,30,30
Sonnflora,https://www.pokewiki.de/Sonnflora,192,2. Generation‍,Gelb,Sunflora,1.059.860,50% ♂ 50% ♀,"0,8 m",Pflanze,"8,5 kg",75,30,75,105,85,55
Yanma,https://www.pokewiki.de/Yanma,193,2. Generation‍,Rot,Yanma,1.000.000,50% ♂ 50% ♀,"1,2 m",Käfer Flug,"38,0 kg",65,95,65,75,45,45
Felino,https://www.pokewiki.de/Felino,194,2. Generation‍,Blau,Wooper,1.000.000,50% ♂ 50% ♀,"0,4 m",Wasser Boden,"8,5 kg",45,15,55,25,25,45
Morlord,https://www.pokewiki.de/Morlord,195,2. Generation‍,Blau,Quagsire,1.000.000,50% ♂ 50% ♀,"1,4 m",Wasser Boden,"75,0 kg",85,35,95,65,65,85
Psiana,https://www.pokewiki.de/Psiana,196,2. Generation‍,Violett,Espeon,1.000.000,"87,5% ♂ 12,5% ♀","0,9 m",Psycho,"26,5 kg",65,110,65,130,95,60
Nachtara,https://www.pokewiki.de/Nachtara,197,2. Generation‍,Schwarz,Umbreon,1.000.000,"87,5% ♂ 12,5% ♀","1,0 m",Unlicht,"27,0 kg",65,65,95,60,130,110
Kramurx,https://www.pokewiki.de/Kramurx,198,2. Generation‍,Schwarz,Murkrow,1.059.860,50% ♂ 50% ♀,"0,5 m",Unlicht Flug,"2,1 kg",85,91,60,85,42,42
