german,path,rn,generation,color,english,ep_to_100,gender,size,types,weight,attack,speed,hp,attack_special,defense_special,defense
Geckarbor,https://www.pokewiki.de/Geckarbor,252,3. Generation‍,Grün,Treecko,1.059.860,"87,5% ♂ 12,5% ♀","0,5 m",Pflanze,"5,0 kg",45,70,40,65,55,35
Reptain,https://www.pokewiki.de/Reptain,253,3. Generation‍,Grün,Grovyle,1.059.860,"87,5% ♂ 12,5% ♀","0,9 m",Pflanze,"21,6 kg",65,95,50,85,65,45
Gewaldro,https://www.pokewiki.de/Gewaldro,254,3. Generation‍,Grün,Sceptile,1.059.860,"87,5% ♂ 12,5% ♀","1,7 m1,9 m (Mega)",Pflanze   Pflanze Drache (Mega),"52,2 kg55,2 kg (Mega)",85,120,70,105,85,65
Flemmli,https://www.pokewiki.de/Flemmli,255,3. Generation‍,Rot,Torchic,1.059.860,"87,5% ♂ 12,5% ♀","0,4 m",Feuer,"2,5 kg",60,45,45,70,50,40
Jungglut,https://www.pokewiki.de/Jungglut,256,3. Generation‍,Rot,Combusken,1.059.860,"87,5% ♂ 12,5% ♀","0,9 m",Feuer Kampf,"19,5 kg",85,55,60,85,60,60
Lohgock,https://www.pokewiki.de/Lohgock,257,3. Generation‍,Rot,Blaziken,1.059.860,"87,5% ♂ 12,5% ♀","1,9 m",Feuer Kampf,"52,0 kg",120,80,80,110,70,70
Hydropi,https://www.pokewiki.de/Hydropi,258,3. Generation‍,Blau,Mudkip,1.059.860,"87,5% ♂ 12,5% ♀","0,4 m",Wasser,"7,6 kg",70,40,50,50,50,50
Moorabbel,https://www.pokewiki.de/Moorabbel,259,3. Generation‍,Blau,Marshtomp,1.059.860,"87,5% ♂ 12,5% ♀","0,7 m",Wasser Boden,"28,0 kg",85,50,70,60,70,70
Sumpex,https://www.pokewiki.de/Sumpex,260,3. Generation‍,Blau,Swampert,1.059.860,"87,5% ♂ 12,5% ♀","1,5 m1,9 m (Mega)",Wasser Boden,"81,9 kg102,0 kg (Mega)",110,60,100,85,90,90
Fiffyen,https://www.pokewiki.de/Fiffyen,261,3. Generation‍,Grau,Poochyena,1.000.000,50% ♂ 50% ♀,"0,5 m",Unlicht,"13,6 kg",55,35,35,30,30,35
Magnayen,https://www.pokewiki.de/Magnayen,262,3. Generation‍,Grau,Mightyena,1.000.000,50% ♂ 50% ♀,"1,0 m",Unlicht,"37,0 kg",90,70,70,60,60,70
Zigzachs,https://www.pokewiki.de/Zigzachs,263,3. Generation‍,Braun,Zigzagoon,1.000.000,50% ♂ 50% ♀,"0,4 m",Normal,"17,5 kg",30,60,38,30,41,41
Geradaks,https://www.pokewiki.de/Geradaks,264,3. Generation‍,Weiß,Linoone,1.000.000,50% ♂ 50% ♀,"0,5 m",Normal,"32,5 kg",70,100,78,50,61,61
Waumpel,https://www.pokewiki.de/Waumpel,265,3. Generation‍,Rot,Wurmple,1.000.000,50% ♂ 50% ♀,"0,3 m",Käfer,"3,6 kg",45,20,45,20,30,35
Schaloko,https://www.pokewiki.de/Schaloko,266,3. Generation‍,Weiß,Silcoon,1.000.000,50% ♂ 50% ♀,"0,6 m",Käfer,"10,0 kg",35,15,50,25,25,55
Papinella,https://www.pokewiki.de/Papinella,267,3. Generation‍,Gelb,Beautifly,1.000.000,50% ♂ 50% ♀,"1,0 m",Käfer Flug,"28,4 kg",70,65,60,100,50,50
Panekon,https://www.pokewiki.de/Panekon,268,3. Generation‍,Violett,Cascoon,1.000.000,50% ♂ 50% ♀,"0,7 m",Käfer,"11,5 kg",35,15,50,25,25,55
Pudox,https://www.pokewiki.de/Pudox,269,3. Generation‍,Grün,Dustox,1.000.000,50% ♂ 50% ♀,"1,2 m",Käfer Gift,"31,6 kg",50,65,60,50,90,70
Loturzel,https://www.pokewiki.de/Loturzel,270,3. Generation‍,Grün,Lotad,1.059.860,50% ♂ 50% ♀,"0,5 m",Wasser Pflanze,"2,6 kg",30,30,40,40,50,30
Lombrero,https://www.pokewiki.de/Lombrero,271,3. Generation‍,Grün,Lombre,1.059.860,50% ♂ 50% ♀,"1,2 m",Wasser Pflanze,"32,5 kg",50,50,60,60,70,50
Kappalores,https://www.pokewiki.de/Kappalores,272,3. Generation‍,Grün,Ludicolo,1.059.860,50% ♂ 50% ♀,"1,5 m",Wasser Pflanze,"55,0 kg",70,70,80,90,100,70
Samurzel,https://www.pokewiki.de/Samurzel,273,3. Generation‍,Braun,Seedot,1.059.860,50% ♂ 50% ♀,"0,5 m",Pflanze,"4,0 kg",40,30,40,30,30,50
Blanas,https://www.pokewiki.de/Blanas,274,3. Generation‍,Braun,Nuzleaf,1.059.860,50% ♂ 50% ♀,"1,0 m",Pflanze Unlicht,"28,0 kg",70,60,70,60,40,40
Tengulist,https://www.pokewiki.de/Tengulist,275,3. Generation‍,Braun,Shiftry,1.059.860,50% ♂ 50% ♀,"1,3 m",Pflanze Unlicht,"59,6 kg",100,80,90,90,60,60
Schwalbini,https://www.pokewiki.de/Schwalbini,276,3. Generation‍,Blau,Taillow,1.059.860,50% ♂ 50% ♀,"0,3 m",Normal Flug,"2,3 kg",55,85,40,30,30,30
Schwalboss,https://www.pokewiki.de/Schwalboss,277,3. Generation‍,Blau,Swellow,1.059.860,50% ♂ 50% ♀,"0,7 m",Normal Flug,"19,8 kg",85,125,60,75,50,60
Wingull,https://www.pokewiki.de/Wingull,278,3. Generation‍,Weiß,Wingull,1.000.000,50% ♂ 50% ♀,"0,6 m",Wasser Flug,"9,5 kg",30,85,40,55,30,30
Pelipper,https://www.pokewiki.de/Pelipper,279,3. Generation‍,Gelb,Pelipper,1.000.000,50% ♂ 50% ♀,"1,2 m",Wasser Flug,"28,0 kg",50,65,60,95,70,100
Trasla,https://www.pokewiki.de/Trasla,280,3. Generation‍,Weiß,Ralts,1.250.000,50% ♂ 50% ♀,"0,4 m",Psycho Fee,"6,6 kg",25,40,28,45,35,25
Kirlia,https://www.pokewiki.de/Kirlia,281,3. Generation‍,Weiß,Kirlia,1.250.000,50% ♂ 50% ♀,"0,8 m",Psycho Fee,"20,2 kg",35,50,38,65,55,35
Guardevoir,https://www.pokewiki.de/Guardevoir,282,3. Generation‍,Weiß,Gardevoir,1.250.000,50% ♂ 50% ♀,"1,6 m",Psycho Fee,"48,4 kg",65,80,68,125,115,65
Gehweiher,https://www.pokewiki.de/Gehweiher,283,3. Generation‍,Blau,Surskit,1.000.000,50% ♂ 50% ♀,"0,5 m",Käfer Wasser,"1,7 kg",30,65,40,50,52,32
Maskeregen,https://www.pokewiki.de/Maskeregen,284,3. Generation‍,Blau,Masquerain,1.000.000,50% ♂ 50% ♀,"0,8 m",Käfer Flug,"3,6 kg",60,80,70,100,82,62
Knilz,https://www.pokewiki.de/Knilz,285,3. Generation‍,Braun,Shroomish,1.640.000,50% ♂ 50% ♀,"0,4 m",Pflanze,"4,5 kg",40,35,60,40,60,60
Kapilz,https://www.pokewiki.de/Kapilz,286,3. Generation‍,Grün,Breloom,1.640.000,50% ♂ 50% ♀,"1,2 m",Pflanze Kampf,"39,2 kg",130,70,60,60,60,80
Bummelz,https://www.pokewiki.de/Bummelz,287,3. Generation‍,Braun,Slakoth,1.250.000,50% ♂ 50% ♀,"0,8 m",Normal,"24,0 kg",60,30,60,35,35,60
