german,path,rn,generation,color,english,ep_to_100,gender,size,types,weight,attack,speed,hp,attack_special,defense_special,defense
Chelast,https://www.pokewiki.de/Chelast,387,4. Generation‍,Grün,Turtwig,1.059.860,"87,5% ♂ 12,5% ♀","0,4 m",Pflanze,"10,2 kg",68,31,55,45,55,64
Chelcarain,https://www.pokewiki.de/Chelcarain,388,4. Generation‍,Grün,Grotle,1.059.860,"87,5% ♂ 12,5% ♀","1,1 m",Pflanze,"97,0 kg",89,36,75,55,65,85
Chelterrar,https://www.pokewiki.de/Chelterrar,389,4. Generation‍,Grün,Torterra,1.059.860,"87,5% ♂ 12,5% ♀","2,2 m",Pflanze Boden,"310,0 kg",109,56,95,75,85,105
Panflam,https://www.pokewiki.de/Panflam,390,4. Generation‍,Braun,Chimchar,1.059.860,"87,5% ♂ 12,5% ♀","0,5 m",Feuer,"6,2 kg",58,61,44,58,44,44
Panpyro,https://www.pokewiki.de/Panpyro,391,4. Generation‍,Braun,Monferno,1.059.860,"87,5% ♂ 12,5% ♀","0,9 m",Feuer Kampf,"22,0 kg",78,81,64,78,52,52
Panferno,https://www.pokewiki.de/Panferno,392,4. Generation‍,Braun,Infernape,1.059.860,"87,5% ♂ 12,5% ♀","1,2 m",Feuer Kampf,"55,0 kg",104,108,76,104,71,71
Plinfa,https://www.pokewiki.de/Plinfa,393,4. Generation‍,Blau,Piplup,1.059.860,"87,5% ♂ 12,5% ♀","0,4 m",Wasser,"5,2 kg",51,40,53,61,56,53
Pliprin,https://www.pokewiki.de/Pliprin,394,4. Generation‍,Blau,Prinplup,1.059.860,"87,5% ♂ 12,5% ♀","0,8 m",Wasser,"23,0 kg",66,50,64,81,76,68
Impoleon,https://www.pokewiki.de/Impoleon,395,4. Generation‍,Blau,Empoleon,1.059.860,"87,5% ♂ 12,5% ♀","1,7 m",Wasser Stahl,"84,5 kg",86,60,84,111,101,88
Staralili,https://www.pokewiki.de/Staralili,396,4. Generation‍,Braun,Starly,1.059.860,50% ♂ 50% ♀,"0,3 m",Normal Flug,"2,0 kg",55,60,40,30,30,30
Staravia,https://www.pokewiki.de/Staravia,397,4. Generation‍,Braun,Staravia,1.059.860,50% ♂ 50% ♀,"0,6 m",Normal Flug,"15,5 kg",75,80,55,40,40,50
Staraptor,https://www.pokewiki.de/Staraptor,398,4. Generation‍,Braun,Staraptor,1.059.860,50% ♂ 50% ♀,"1,2 m",Normal Flug,"24,9 kg",120,100,85,50,60,70
Bidiza,https://www.pokewiki.de/Bidiza,399,4. Generation‍,Braun,Bidoof,1.000.000,50% ♂ 50% ♀,"0,5 m",Normal,"20,0 kg",45,31,59,35,40,40
Bidifas,https://www.pokewiki.de/Bidifas,400,4. Generation‍,Braun,Bibarel,1.000.000,50% ♂ 50% ♀,"1,0 m",Normal Wasser,"31,5 kg",85,71,79,55,60,60
Zirpurze,https://www.pokewiki.de/Zirpurze,401,4. Generation‍,Rot,Kricketot,1.059.860,50% ♂ 50% ♀,"0,3 m",Käfer,"2,2 kg",25,25,37,25,41,41
Zirpeise,https://www.pokewiki.de/Zirpeise,402,4. Generation‍,Rot,Kricketune,1.059.860,50% ♂ 50% ♀,"1,0 m",Käfer,"25,5 kg",85,65,77,55,51,51
Sheinux,https://www.pokewiki.de/Sheinux,403,4. Generation‍,Blau,Shinx,1.059.860,50% ♂ 50% ♀,"0,5 m",Elektro,"9,5 kg",65,45,45,40,34,34
Luxio,https://www.pokewiki.de/Luxio,404,4. Generation‍,Blau,Luxio,1.059.860,50% ♂ 50% ♀,"0,9 m",Elektro,"30,5 kg",85,60,60,60,49,49
Luxtra,https://www.pokewiki.de/Luxtra,405,4. Generation‍,Blau,Luxray,1.059.860,50% ♂ 50% ♀,"1,4 m",Elektro,"42,0 kg",120,70,80,95,79,79
Knospi,https://www.pokewiki.de/Knospi,406,4. Generation‍,Grün,Budew,1.059.860,50% ♂ 50% ♀,"0,2 m",Pflanze Gift,"1,2 kg",30,55,40,50,70,35
Roserade,https://www.pokewiki.de/Roserade,407,4. Generation‍,Grün,Roserade,1.059.860,50% ♂ 50% ♀,"0,9 m",Pflanze Gift,"14,5 kg",70,90,60,125,105,65
Koknodon,https://www.pokewiki.de/Koknodon,408,4. Generation‍,Blau,Cranidos,600.000,"87,5% ♂ 12,5% ♀","0,9 m",Gestein,"31,5 kg",125,58,67,30,30,40
Rameidon,https://www.pokewiki.de/Rameidon,409,4. Generation‍,Blau,Rampardos,600.000,"87,5% ♂ 12,5% ♀","1,6 m",Gestein,"102,5 kg",165,58,97,65,50,60
Schilterus,https://www.pokewiki.de/Schilterus,410,4. Generation‍,Grau,Shieldon,600.000,"87,5% ♂ 12,5% ♀","0,5 m",Gestein Stahl,"57,0 kg",42,30,30,42,88,118
Bollterus,https://www.pokewiki.de/Bollterus,411,4. Generation‍,Grau,Bastiodon,600.000,"87,5% ♂ 12,5% ♀","1,3 m",Gestein Stahl,"149,5 kg",52,30,60,47,138,168
Burmy,https://www.pokewiki.de/Burmy,412,4. Generation‍,Grau,Burmy,1.000.000,50% ♂ 50% ♀,"0,2 m",Käfer,"3,4 kg",29,36,40,29,45,45
Burmadame,https://www.pokewiki.de/Burmadame,413,4. Generation‍,Grau,Wormadam,1.000.000,100% ♀,"0,5 m",Käfer Pflanze (Pflanzenumhang)Käfer Boden (Sandumhang)Käfer Stahl (Lumpenumhang),"6,5 kg",59,36,60,79,105,85
Moterpel,https://www.pokewiki.de/Moterpel,414,4. Generation‍,Gelb,Mothim,1.000.000,100% ♂,"0,9 m",Käfer Flug,"23,3 kg",94,66,70,94,50,50
Wadribie,https://www.pokewiki.de/Wadribie,415,4. Generation‍,Gelb,Combee,1.059.860,"87,5% ♂ 12,5% ♀","0,3 m",Käfer Flug,"5,5 kg",30,70,30,30,42,42
Honweisel,https://www.pokewiki.de/Honweisel,416,4. Generation‍,Gelb,Vespiquen,1.059.860,100% ♀,"1,2 m",Käfer Flug,"38,5 kg",80,40,70,80,102,102
Pachirisu,https://www.pokewiki.de/Pachirisu,417,4. Generation‍,Weiß,Pachirisu,1.000.000,50% ♂ 50% ♀,"0,4 m",Elektro,"3,9 kg",45,95,60,45,90,70
Bamelin,https://www.pokewiki.de/Bamelin,418,4. Generation‍,Braun,Buizel,1.000.000,50% ♂ 50% ♀,"0,7 m",Wasser,"29,5 kg",65,85,55,60,30,35
Bojelin,https://www.pokewiki.de/Bojelin,419,4. Generation‍,Braun,Floatzel,1.000.000,50% ♂ 50% ♀,"1,1 m",Wasser,"33,5 kg",105,115,85,85,50,55
Kikugi,https://www.pokewiki.de/Kikugi,420,4. Generation‍,Rosa,Cherubi,1.000.000,50% ♂ 50% ♀,"0,4 m",Pflanze,"3,3 kg",35,35,45,62,53,45
Kinoso,https://www.pokewiki.de/Kinoso,421,4. Generation‍,Rosa,Cherrim,1.000.000,50% ♂ 50% ♀,"0,5 m",Pflanze,"9,3 kg",60,85,70,87,78,70
Schalellos,https://www.pokewiki.de/Schalellos,422,4. Generation‍,Violett,Shellos,1.000.000,50% ♂ 50% ♀,"0,3 m",Wasser,"6,3 kg",48,34,76,57,62,48
Gastrodon,https://www.pokewiki.de/Gastrodon,423,4. Generation‍,Violett,Gastrodon,1.000.000,50% ♂ 50% ♀,"0,9 m",Wasser Boden,"29,9 kg",83,39,111,92,82,68
Ambidiffel,https://www.pokewiki.de/Ambidiffel,424,4. Generation‍,Violett,Ambipom,800.000,50% ♂ 50% ♀,"1,2 m",Normal,"20,3 kg",100,115,75,60,66,66
Driftlon,https://www.pokewiki.de/Driftlon,425,4. Generation‍,Violett,Drifloon,1.640.000,50% ♂ 50% ♀,"0,4 m",Geist Flug,"1,2 kg",50,70,90,60,44,34
Drifzepeli,https://www.pokewiki.de/Drifzepeli,426,4. Generation‍,Violett,Drifblim,1.640.000,50% ♂ 50% ♀,"1,2 m",Geist Flug,"15,0 kg",80,80,150,90,54,44
Haspiror,https://www.pokewiki.de/Haspiror,427,4. Generation‍,Braun,Buneary,1.000.000,50% ♂ 50% ♀,"0,4 m",Normal,"5,5 kg",66,85,55,44,56,44
Schlapor,https://www.pokewiki.de/Schlapor,428,4. Generation‍,Braun,Lopunny,1.000.000,50% ♂ 50% ♀,"1,2 m1,3 m (Mega)",Normal   Normal Kampf (Mega),"33,3 kg28,3 kg (Mega)",76,105,65,54,96,84
Traunmagil,https://www.pokewiki.de/Traunmagil,429,4. Generation‍,Violett,Mismagius,800.000,50% ♂ 50% ♀,"0,9 m",Geist,"4,4 kg",60,105,60,105,105,60
Kramshef,https://www.pokewiki.de/Kramshef,430,4. Generation‍,Schwarz,Honchkrow,1.059.860,50% ♂ 50% ♀,"0,9 m",Unlicht Flug,"27,3 kg",125,71,100,105,52,52
Charmian,https://www.pokewiki.de/Charmian,431,4. Generation‍,Grau,Glameow,800.000,25% ♂ 75% ♀,"0,5 m",Normal,"3,9 kg",55,85,49,42,37,42
Shnurgarst,https://www.pokewiki.de/Shnurgarst,432,4. Generation‍,Grau,Purugly,800.000,25% ♂ 75% ♀,"1,0 m",Normal,"43,8 kg",82,112,71,64,59,64
Klingplim,https://www.pokewiki.de/Klingplim,433,4. Generation‍,Gelb,Chingling,800.000,50% ♂ 50% ♀,"0,2 m",Psycho,"0,6 kg",30,45,45,65,50,50
Skunkapuh,https://www.pokewiki.de/Skunkapuh,434,4. Generation‍,Violett,Stunky,1.000.000,50% ♂ 50% ♀,"0,4 m",Gift Unlicht,"19,2 kg",63,74,63,41,41,47
Skuntank,https://www.pokewiki.de/Skuntank,435,4. Generation‍,Violett,Skuntank,1.000.000,50% ♂ 50% ♀,"1,0 m",Gift Unlicht,"38,0 kg",93,84,103,71,61,67
Bronzel,https://www.pokewiki.de/Bronzel,436,4. Generation‍,Grün,Bronzor,1.000.000,—,"0,5 m",Stahl Psycho,"60,5 kg",24,23,57,24,86,86
Bronzong,https://www.pokewiki.de/Bronzong,437,4. Generation‍,Grün,Bronzong,1.000.000,—,"1,3 m",Stahl Psycho,"187,0 kg",89,33,67,79,116,116
Mobai,https://www.pokewiki.de/Mobai,438,4. Generation‍,Braun,Bonsly,1.000.000,50% ♂ 50% ♀,"0,5 m",Gestein,"15,0 kg",80,10,50,10,45,95
Pantimimi,https://www.pokewiki.de/Pantimimi,439,4. Generation‍,Rosa,Mime Jr.,1.000.000,50% ♂ 50% ♀,"0,6 m",Psycho Fee,"13,0 kg",25,60,20,70,90,45
Wonneira,https://www.pokewiki.de/Wonneira,440,4. Generation‍,Rosa,Happiny,800.000,100% ♀,"0,6 m",Normal,"24,4 kg",5,30,100,15,65,5
Plaudagei,https://www.pokewiki.de/Plaudagei,441,4. Generation‍,Schwarz,Chatot,1.059.860,50% ♂ 50% ♀,"0,5 m",Normal Flug,"1,9 kg",65,91,76,92,42,45
Kryppuk,https://www.pokewiki.de/Kryppuk,442,4. Generation‍,Violett,Spiritomb,1.000.000,50% ♂ 50% ♀,"1,0 m",Geist Unlicht,"108,0 kg",92,35,50,92,108,108
Kaumalat,https://www.pokewiki.de/Kaumalat,443,4. Generation‍,Blau,Gible,1.250.000,50% ♂ 50% ♀,"0,7 m",Drache Boden,"20,5 kg",70,42,58,40,45,45
Knarksel,https://www.pokewiki.de/Knarksel,444,4. Generation‍,Blau,Gabite,1.250.000,50% ♂ 50% ♀,"1,4 m",Drache Boden,"56,0 kg",90,82,68,50,55,65
Knakrack,https://www.pokewiki.de/Knakrack,445,4. Generation‍,Blau,Garchomp,1.250.000,50% ♂ 50% ♀,"1,9 m",Drache Boden,"95,0 kg",130,102,108,80,85,95
Mampfaxo,https://www.pokewiki.de/Mampfaxo,446,4. Generation‍,Schwarz,Munchlax,1.250.000,"87,5% ♂ 12,5% ♀","0,6 m",Normal,"105,0 kg",85,5,135,40,85,40
Riolu,https://www.pokewiki.de/Riolu,447,4. Generation‍,Blau,Riolu,1.059.860,"87,5% ♂ 12,5% ♀","0,7 m",Kampf,"20,2 kg",70,60,40,35,40,40
Lucario,https://www.pokewiki.de/Lucario,448,4. Generation‍,Blau,Lucario,1.059.860,"87,5% ♂ 12,5% ♀","1,2 m 1,3 m (Mega)",Kampf Stahl,"54,0 kg 57,5 kg (Mega)",110,90,70,115,70,70
Hippopotas,https://www.pokewiki.de/Hippopotas,449,4. Generation‍,Braun,Hippopotas,1.250.000,50% ♂ 50% ♀,"0,8 m",Boden,"49,5 kg",72,32,68,38,42,78
Hippoterus,https://www.pokewiki.de/Hippoterus,450,4. Generation‍,Braun,Hippowdon,1.250.000,50% ♂ 50% ♀,"2,0 m",Boden,"300,0 kg",112,47,108,68,72,118
Pionskora,https://www.pokewiki.de/Pionskora,451,4. Generation‍,Violett,Skorupi,1.250.000,50% ♂ 50% ♀,"0,8 m",Gift Käfer,"12,0 kg",50,65,40,30,55,90
