german,path,rn,generation,color,english,ep_to_100,gender,size,types,weight,attack,speed,hp,attack_special,defense_special,defense
Bauz,https://www.pokewiki.de/Bauz,722,7. Generation,Braun,Rowlet,1.059.860,"87,5% ♂ 12,5% ♀","0,3 m",Pflanze Flug,"1,5 kg",55,42,68,50,50,55
Arboretoss,https://www.pokewiki.de/Arboretoss,723,7. Generation,Braun,Dartrix,1.059.860,"87,5% ♂ 12,5% ♀","0,7 m",Pflanze Flug,"16,0 kg",75,52,78,70,70,75
Silvarro,https://www.pokewiki.de/Silvarro,724,7. Generation,Braun,Decidueye,1.059.860,"87,5% ♂ 12,5% ♀","1,6 m",Pflanze Geist,"36,6 kg",107,70,78,100,100,75
Flamiau,https://www.pokewiki.de/Flamiau,725,7. Generation,Rot,Litten,1.059.860,"87,5% ♂ 12,5% ♀","0,4 m",Feuer,"4,3 kg",65,70,45,60,40,40
Miezunder,https://www.pokewiki.de/Miezunder,726,7. Generation,Rot,Torracat,1.059.860,"87,5% ♂ 12,5% ♀","0,7 m",Feuer,"25,0 kg",85,90,65,80,50,50
Fuegro,https://www.pokewiki.de/Fuegro,727,7. Generation,Rot,Incineroar,1.059.860,"87,5% ♂ 12,5% ♀","1,8 m",Feuer Unlicht,"83,0 kg",115,60,95,80,90,90
Robball,https://www.pokewiki.de/Robball,728,7. Generation,Blau,Popplio,1.059.860,"87,5% ♂ 12,5% ♀","0,4 m",Wasser,"7,5 kg",54,40,50,66,56,54
Marikeck,https://www.pokewiki.de/Marikeck,729,7. Generation,Blau,Brionne,1.059.860,"87,5% ♂ 12,5% ♀","0,6 m",Wasser,"17,5 kg",69,50,60,91,81,69
Primarene,https://www.pokewiki.de/Primarene,730,7. Generation,Blau,Primarina,1.059.860,"87,5% ♂ 12,5% ♀","1,8 m",Wasser Fee,"44,0 kg",74,60,80,126,116,74
Peppeck,https://www.pokewiki.de/Peppeck,731,7. Generation,Schwarz,Pikipek,1.000.000,50% ♂ 50% ♀,"0,3 m",Normal Flug,"1,2 kg",75,65,35,30,30,30
Trompeck,https://www.pokewiki.de/Trompeck,732,7. Generation,Schwarz,Trumbeak,1.000.000,50% ♂ 50% ♀,"0,6 m",Normal Flug,"14,8 kg",85,75,55,40,50,50
Tukanon,https://www.pokewiki.de/Tukanon,733,7. Generation,Schwarz,Toucannon,1.000.000,50% ♂ 50% ♀,"1,1 m",Normal Flug,"26,0 kg",120,60,80,75,75,75
Mangunior,https://www.pokewiki.de/Mangunior,734,7. Generation,Braun,Yungoos,1.000.000,50% ♂ 50% ♀,"0,4 m",Normal,"6,0 kg",70,45,48,30,30,30
Manguspektor,https://www.pokewiki.de/Manguspektor,735,7. Generation,Braun,Gumshoos,1.000.000,50% ♂ 50% ♀,"0,7 m",Normal,"14,2 kg",110,45,88,55,60,60
Mabula,https://www.pokewiki.de/Mabula,736,7. Generation,Grau,Grubbin,1.000.000,50% ♂ 50% ♀,"0,4 m",Käfer,"4,4 kg",62,46,47,55,45,45
Akkup,https://www.pokewiki.de/Akkup,737,7. Generation,Grün,Charjabug,1.000.000,50% ♂ 50% ♀,"0,5 m",Käfer Elektro,"10,5 kg",82,36,57,55,75,95
Donarion,https://www.pokewiki.de/Donarion,738,7. Generation,Blau,Vikavolt,1.000.000,50% ♂ 50% ♀,"1,5 m",Käfer Elektro,"45,0 kg",70,43,77,145,75,90
Krabbox,https://www.pokewiki.de/Krabbox,739,7. Generation,Violett,Crabrawler,1.000.000,50% ♂ 50% ♀,"0,6 m",Kampf,"7,0 kg",82,63,47,42,47,57
Krawell,https://www.pokewiki.de/Krawell,740,7. Generation,Weiß,Crabominable,1.000.000,50% ♂ 50% ♀,"1,7 m",Kampf Eis,"180,0 kg",132,43,97,62,67,77
Choreogel,https://www.pokewiki.de/Choreogel,741,7. Generation,Rot,Oricorio,1.000.000,25% ♂ 75% ♀,"0,6 m",Feuer Flug (Flamenco-Stil)Elektro Flug (Cheerleading-Stil)Psycho Flug (Hula-Stil)Geist Flug (Buyo-Stil),"3,4 kg",70,93,75,98,70,70
Wommel,https://www.pokewiki.de/Wommel,742,7. Generation,Gelb,Cutiefly,1.000.000,50% ♂ 50% ♀,"0,1 m",Käfer Fee,"0,2 kg",45,84,40,55,40,40
Bandelby,https://www.pokewiki.de/Bandelby,743,7. Generation,Gelb,Ribombee,1.000.000,50% ♂ 50% ♀,"0,2 m",Käfer Fee,"0,5 kg",55,124,60,95,70,60
Wuffels,https://www.pokewiki.de/Wuffels,744,7. Generation,Braun,Rockruff,1.000.000,50% ♂ 50% ♀,"0,5 m",Gestein,"9,2 kg",65,60,45,30,40,40
Wolwerock,https://www.pokewiki.de/Wolwerock,745,7. Generation,Braun,Lycanroc,1.000.000,50% ♂ 50% ♀,"0,8 m (Tag- und Zwielichtform)1,1 m (Nachtform)",Gestein,"25,0 kg",115,112,75,55,65,65
Lusardin,https://www.pokewiki.de/Lusardin,746,7. Generation,Blau,Wishiwashi,800.000,50% ♂ 50% ♀,"0,2 m (Einzel)8,2 m (Schwarm)",Wasser,"0,3 kg (Einzel)78,6 kg (Schwarm)",20,40,45,25,25,20
Garstella,https://www.pokewiki.de/Garstella,747,7. Generation,Blau,Mareanie,1.000.000,50% ♂ 50% ♀,"0,4 m",Gift Wasser,"8,0 kg",53,45,50,43,52,62
Aggrostella,https://www.pokewiki.de/Aggrostella,748,7. Generation,Blau,Toxapex,1.000.000,50% ♂ 50% ♀,"0,7 m",Gift Wasser,"14,5 kg",63,35,50,53,142,152
Pampuli,https://www.pokewiki.de/Pampuli,749,7. Generation,Braun,Mudbray,1.000.000,50% ♂ 50% ♀,"1,0 m",Boden,"110,0 kg",100,45,70,45,55,70
Pampross,https://www.pokewiki.de/Pampross,750,7. Generation,Braun,Mudsdale,1.000.000,50% ♂ 50% ♀,"2,5 m",Boden,"920,0 kg",125,35,100,55,85,100
Araqua,https://www.pokewiki.de/Araqua,751,7. Generation,Grün,Dewpider,1.000.000,50% ♂ 50% ♀,"0,3 m",Wasser Käfer,"4,0 kg",40,27,38,40,72,52
Aranestro,https://www.pokewiki.de/Aranestro,752,7. Generation,Grün,Araquanid,1.000.000,50% ♂ 50% ♀,"1,8 m",Wasser Käfer,"82,0 kg",70,42,68,50,132,92
Imantis,https://www.pokewiki.de/Imantis,753,7. Generation,Rosa,Fomantis,1.000.000,50% ♂ 50% ♀,"0,3 m",Pflanze,"1,5 kg",55,35,40,50,35,35
Mantidea,https://www.pokewiki.de/Mantidea,754,7. Generation,Rosa,Lurantis,1.000.000,50% ♂ 50% ♀,"0,9 m",Pflanze,"18,5 kg",105,45,70,80,90,90
Bubungus,https://www.pokewiki.de/Bubungus,755,7. Generation,Violett,Morelull,1.000.000,50% ♂ 50% ♀,"0,2 m",Pflanze Fee,"1,5 kg",35,15,40,65,75,55
Lamellux,https://www.pokewiki.de/Lamellux,756,7. Generation,Violett,Shiinotic,1.000.000,50% ♂ 50% ♀,"1,0 m",Pflanze Fee,"11,5 kg",45,30,60,90,100,80
Molunk,https://www.pokewiki.de/Molunk,757,7. Generation,Schwarz,Salandit,1.000.000,"87,5% ♂ 12,5% ♀","0,6 m",Gift Feuer,"4,8 kg",44,77,48,71,40,40
Amfira,https://www.pokewiki.de/Amfira,758,7. Generation,Schwarz,Salazzle,1.000.000,100% ♀,"1,2 m",Gift Feuer,"22,2 kg",64,117,68,111,60,60
Velursi,https://www.pokewiki.de/Velursi,759,7. Generation,Rosa,Stufful,1.000.000,50% ♂ 50% ♀,"0,5 m",Normal Kampf,"6,8 kg",75,50,70,45,50,50
Kosturso,https://www.pokewiki.de/Kosturso,760,7. Generation,Rosa,Bewear,1.000.000,50% ♂ 50% ♀,"2,1 m",Normal Kampf,"135,0 kg",125,60,120,55,60,80
